Country,Rating
Argentina,92.27272727272727
Australia,88.46753246753246
Austria,88.85185185185185
Chile,89.6
France,86.36166924265842
Germany,87.47252747252747
Italy,85.37848605577689
New Zealand,84.08571428571429
Portugal,60.142857142857146
South Africa,91.0909090909091
Spain,87.71428571428571
USA,88.1044776119403
