Country;Region;Year;URL;Title;Note;Class;Rating;Maturity
Germany;Germany - Mosel Saar Ruwer;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=Germany&region[]=Mosel%20Saar%20Ruwer;2010 Germany: Mosel-Saar-Ruwer;89I;Above-average;89;Irregular, even among the best wines
France;France - Bordeaux: Pomerol;1970;https://www.robertparker.com//search/wines?vintage=1970&country[]=France&region[]=Bordeaux&location[]=Pomerol;1970 Pomerol;90R;Outstanding;90;Ready to drink
France;France - Burgundy: Cote de Nuits;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;2012 Cote de Nuits (red);93E;Outstanding;93;Early maturing and accessible
France;France - Burgundy: Cote de Beaune;2000;https://www.robertparker.com//search/wines?vintage=2000&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Beaune&color_class[]=Red;2000 Cote de Beaune (red);80C;Above-average;80;Caution, may be too old
France;France - Burgundy: Beaujolais;1982;https://www.robertparker.com//search/wines?vintage=1982&country[]=France&region[]=Burgundy&region[]=Beaujolais;1982 Beaujolais;75C;Average;75;Caution, may be too old
Portugal;Portugal;1988;https://www.robertparker.com//search/wines?vintage=1988&country[]=Portugal&type[]=Fortified;1988 Portugal Vintage Port;NV;Not yet sufficiently tasted to rate;;
France;France - Burgundy: Beaujolais;1987;https://www.robertparker.com//search/wines?vintage=1987&country[]=France&region[]=Burgundy&region[]=Beaujolais;1987 Beaujolais;85C;Above-average;85;Caution, may be too old
USA;USA - Willamette Valley;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=USA&region[]=Oregon&location[]=Willamette%20Valley&variety[]=Pinot%20Noir;2007 Oregon: Willamette Valley Pinot Noir;84T;Above-average;84;Still tannic, youthful, or slow to mature
Italy;Italy - Tuscany: Bolgheri;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Italy&region[]=Tuscany&location[]=Bolgheri&color_class[]=Red;2007 Italy:  Tuscany  (Bolgheri);94R;Outstanding;94;Ready to drink
Italy;Italy - Tuscany: Chianti;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=Italy&region[]=Tuscany&location[]=Chianti%20Classico;2008 Italy:  Tuscany (Chianti Classico);90R;Outstanding;90;Ready to drink
Italy;Italy - Piedmont: Barolo;2002;https://www.robertparker.com//search/wines?vintage=2002&country[]=Italy&region[]=Piedmont&location[]=Barolo;2002 Italy:  Piedmont (Barolo);75C;Average;75;Caution, may be too old
France;France - Rhone: Cote Rotie / Hermitage;1971;https://www.robertparker.com//search/wines?vintage=1971&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"1971 Northern Rhone
Cote Rotie / Hermitage";84R;Above-average;84;Ready to drink
USA;USA - North Coast;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Zinfandel;2009 Calif N Coast Zinfandel;85I;Above-average;85;Irregular, even among the best wines
France;France - Bordeaux: St Julien / Pauillac / St Estephe;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=France&region[]=Bordeaux&location[]=Saint-Julien&location[]=Pauillac&location[]=Saint-Estephe;2011 St. Julien / Pauillac / St. Estephe;88E;Above-average;88;Early maturing and accessible
France;France - Bordeaux: St Emilion;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;2010 St. Emilion;94T;Outstanding;94;Still tannic, youthful, or slow to mature
USA;USA - Willamette Valley;1990;https://www.robertparker.com//search/wines?vintage=1990&country[]=USA&region[]=Oregon&location[]=Willamette%20Valley&variety[]=Pinot%20Noir;1990 Oregon: Willamette Valley Pinot Noir;90C;Outstanding;90;Caution, may be too old
Chile;Chile;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=Chile;2004 Chile;89R;Above-average;89;Ready to drink
New Zealand;New Zealand;1990;https://www.robertparker.com//search/wines?vintage=1990&country[]=New%20Zealand;1990 New Zealand;85C;Above-average;85;Caution, may be too old
France;France - Burgundy: Cote de Nuits;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;2015 Cote de Nuits (red);96E;Extraordinary;96;Early maturing and accessible
France;France - Burgundy: Beaujolais;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=France&region[]=Burgundy&region[]=Beaujolais;2006 Beaujolais;89R;Above-average;89;Ready to drink
Italy;Italy - Tuscany: Chianti;2005;https://www.robertparker.com//search/wines?vintage=2005&country[]=Italy&region[]=Tuscany&location[]=Chianti%20Classico;2005 Italy:  Tuscany (Chianti Classico);89R;Above-average;89;Ready to drink
France;France - Bordeaux: Pomerol;1976;https://www.robertparker.com//search/wines?vintage=1976&country[]=France&region[]=Bordeaux&location[]=Pomerol;1976 Pomerol;82R;Above-average;82;Ready to drink
France;France - Rhone: Cote Rotie / Hermitage;2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2001 Northern Rhone
Cote Rotie / Hermitage";89R;Above-average;89;Ready to drink
Italy;Italy - Tuscany: Brunello di Montalcino;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=Italy&region[]=Tuscany&location[]=Brunello%20di%20Montalcino;2012 Italy:  Tuscany (Brunello di Montalcino);93T;Outstanding;93;Still tannic, youthful, or slow to mature
Australia;Australia - Western Australia;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Australia&region[]=Western%20Australia;2007 Western Australia;87R;Above-average;87;Ready to drink
France;France - Burgundy: Cote de Nuits;1990;https://www.robertparker.com//search/wines?vintage=1990&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;1990 Cote de Nuits (red);93R;Outstanding;93;Ready to drink
France;France - Burgundy: Cote de Beaune;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Beaune&color_class[]=Red;1986 Cote de Beaune (red);72C;Average;72;Caution, may be too old
USA;USA - North Coast;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;2006 Calif N Coast Pinot Noir;87I;Above-average;87;Irregular, even among the best wines
USA;USA - North Coast;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Zinfandel;1986 Calif N Coast Zinfandel;87C;Above-average;87;Caution, may be too old
Italy;Italy - Piedmont: Barolo;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=Italy&region[]=Piedmont&location[]=Barolo;2015 Italy:  Piedmont (Barolo);NV;Not yet sufficiently tasted to rate;;
Germany;Germany - Rheinhessen;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=Germany&region[]=Rheinhessen&variety[]=Riesling;1997 Germany: Rhine (Riesling);87R;Above-average;87;Ready to drink
Spain;Spain - Castilla Leon: Ribera Del Duero;1994;https://www.robertparker.com//search/wines?vintage=1994&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1994 Spain:  Ribera del Duero;90R;Outstanding;90;Ready to drink
Australia;Australia - Victoria / Tasmania;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Australia&region[]=Victoria&region[]=Tasmania;2007 Australia: Victoria / Tasmania;85I;Above-average;85;Irregular, even among the best wines
France;France - Bordeaux: St Emilion;2000;https://www.robertparker.com//search/wines?vintage=2000&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;2000 St. Emilion;96T;Extraordinary;96;Still tannic, youthful, or slow to mature
Spain;Spain - Rioja;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Spain&region[]=Rioja;2007 Spain:  Rioja;89R;Above-average;89;Ready to drink
Spain;Spain - Castilla Leon: Ribera Del Duero;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1998 Spain:  Ribera del Duero;88T;Above-average;88;Still tannic, youthful, or slow to mature
USA;USA;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=USA&region[]=Washington&variety[]=Cabernet%20Sauvignon&variety[]=Syrah;"2011 Washington
Cabernet Sauvignon and Syrah";87E;Above-average;87;Early maturing and accessible
France;France - Bordeaux: Pomerol;2013;https://www.robertparker.com//search/wines?vintage=2013&country[]=France&region[]=Bordeaux&location[]=Pomerol;2013 Pomerol;84R;Above-average;84;Ready to drink
Italy;Italy - Friuli Venezia Giulia: Collio;2003;https://www.robertparker.com//search/wines?vintage=2003&country[]=Italy&region[]=Friuli%20Venezia%20Giulia&location[]=Collio&color_class[]=White;2003 Italy: Friuli (Collio);85C;Above-average;85;Caution, may be too old
USA;USA;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=USA&region[]=Washington&variety[]=Cabernet%20Sauvignon&variety[]=Syrah;"2014 Washington
Cabernet Sauvignon and Syrah";94T;Outstanding;94;Still tannic, youthful, or slow to mature
France;France - Bordeaux: Pomerol;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=France&region[]=Bordeaux&location[]=Pomerol;2012 Pomerol;94E;Outstanding;94;Early maturing and accessible
Spain;Spain - Castilla Leon: Ribera Del Duero;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;2010 Spain:  Ribera del Duero;96E;Extraordinary;96;Early maturing and accessible
Italy;Italy - Veneto: Valpolicella (Amarone);2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=Italy&region[]=Veneto&location[]=Amarone%20della%20Valpolicella;2001 Italy: Veneto (Valpolicella);91C;Outstanding;91;Caution, may be too old
France;France - Jura;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Jura;2008 Jura;91T;Outstanding;91;Still tannic, youthful, or slow to mature
France;France - Bordeaux: St Julien / Pauillac / St Estephe;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Bordeaux&location[]=Saint-Julien&location[]=Pauillac&location[]=Saint-Estephe;2014 St. Julien / Pauillac / St. Estephe;93T;Outstanding;93;Still tannic, youthful, or slow to mature
France;France - Bordeaux: Pomerol;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=France&region[]=Bordeaux&location[]=Pomerol;1998 Pomerol;96T;Extraordinary;96;Still tannic, youthful, or slow to mature
France;France - Loire Valley;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=France&region[]=Loire&color_class[]=White;2010 Loire Valley (white);92T;Outstanding;92;Still tannic, youthful, or slow to mature
France;France - Roussillon;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=France&region[]=Roussillon;2011 Roussillon;91E;Outstanding;91;Early maturing and accessible
Italy;Italy - Trentino-Alto Adige;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=Italy&region[]=Trentino-Alto%20Adige&color_class[]=White;2004 Italy: Trentino-Alto Adige;93C;Outstanding;93;Caution, may be too old
France;France - Rhone: Cote Rotie / Hermitage;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2015 Northern Rhone
Cote Rotie / Hermitage";97T;Extraordinary;97;Still tannic, youthful, or slow to mature
France;France - Rhone: Cote Rotie / Hermitage;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2008 Northern Rhone
Cote Rotie / Hermitage";79I;Average;79;Irregular, even among the best wines
France;France - Burgundy: Cote de Nuits;1996;https://www.robertparker.com//search/wines?vintage=1996&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;1996 Cote de Nuits (red);89T;Above-average;89;Still tannic, youthful, or slow to mature
USA;USA - North Coast;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;2010 Calif N Coast Pinot Noir;91R;Outstanding;91;Ready to drink
Italy;Italy - Piedmont: Barbaresco;1981;https://www.robertparker.com//search/wines?vintage=1981&country[]=Italy&region[]=Piedmont&location[]=Barbaresco;1981 Italy:  Piedmont (Barbaresco);80R;Above-average;80;Ready to drink
Portugal;Portugal;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Portugal&dryness[]=Dry;2007 Portugal dry wines;95E;Outstanding;95;Early maturing and accessible
USA;USA - North Coast;1975;https://www.robertparker.com//search/wines?vintage=1975&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Zinfandel;1975 Calif N Coast Zinfandel;80C;Above-average;80;Caution, may be too old
Spain;Spain - Castilla Leon: Ribera Del Duero;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1997 Spain:  Ribera del Duero;86R;Above-average;86;Ready to drink
Italy;Italy - Piedmont: Barbaresco;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=Italy&region[]=Piedmont&location[]=Barbaresco;1985 Italy:  Piedmont (Barbaresco);95R;Outstanding;95;Ready to drink
Austria;Austria;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;2007 Austria (Riesling & Grüner Veltliner);90R;Outstanding;90;Ready to drink
France;France - Burgundy;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=France&region[]=Burgundy&color_class[]=White;2010 White Burgundy;93E;Outstanding;93;Early maturing and accessible
France;France - Languedoc;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=France&region[]=Languedoc-Roussillon;2007 Languedoc;93R;Outstanding;93;Ready to drink
France;France - Bordeaux: Barsac / Sauternes;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1989 Barsac / Sauternes;90R;Outstanding;90;Ready to drink
Italy;Italy - Piedmont: Barolo;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=Italy&region[]=Piedmont&location[]=Barolo;1997 Italy:  Piedmont (Barolo);93E;Outstanding;93;Early maturing and accessible
Italy;Italy - Tuscany: Brunello di Montalcino;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=Italy&region[]=Tuscany&location[]=Brunello%20di%20Montalcino;2009 Italy:  Tuscany (Brunello di Montalcino);93T;Outstanding;93;Still tannic, youthful, or slow to mature
Portugal;Portugal;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=Portugal&type[]=Fortified;1995 Portugal Vintage Port;NV;Not yet sufficiently tasted to rate;;
France;France - Loire Valley;1983;https://www.robertparker.com//search/wines?vintage=1983&country[]=France&region[]=Loire&color_class[]=White;1983 Loire Valley (white);84C;Above-average;84;Caution, may be too old
France;France - Rhone: Chateauneuf du Pape;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Rh%C3%B4ne&location[]=Southern%20Rh%C3%B4ne&locale[]=Chateauneuf%20du%20Pape;"2015 Southern Rhone
Chateauneuf du Pape";93T;Outstanding;93;Still tannic, youthful, or slow to mature
France;France - Burgundy;2013;https://www.robertparker.com//search/wines?vintage=2013&country[]=France&region[]=Burgundy&color_class[]=White;2013 White Burgundy;90E;Outstanding;90;Early maturing and accessible
Italy;Italy - Piedmont: Barolo;1987;https://www.robertparker.com//search/wines?vintage=1987&country[]=Italy&region[]=Piedmont&location[]=Barolo;1987 Italy:  Piedmont (Barolo);86R;Above-average;86;Ready to drink
France;France - Burgundy;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=France&region[]=Burgundy&color_class[]=White;2009 White Burgundy;90R;Outstanding;90;Ready to drink
USA;USA;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=USA&region[]=Washington&variety[]=Cabernet%20Sauvignon&variety[]=Syrah;"1989 Washington
Cabernet Sauvignon and Syrah";92R;Outstanding;92;Ready to drink
France;France - Loire Valley;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=France&region[]=Loire&color_class[]=Red;2012 Loire Valley (red);82E;Above-average;82;Early maturing and accessible
Germany;Germany - Mosel Saar Ruwer;2003;https://www.robertparker.com//search/wines?vintage=2003&country[]=Germany&region[]=Mosel%20Saar%20Ruwer;2003 Germany: Mosel-Saar-Ruwer;91I;Outstanding;91;Irregular, even among the best wines
USA;USA - North Coast;1981;https://www.robertparker.com//search/wines?vintage=1981&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;1981 Calif N Coast Pinot Noir;83C;Above-average;83;Caution, may be too old
USA;USA - North Coast;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;1999 Calif N Coast Pinot Noir;90E;Outstanding;90;Early maturing and accessible
Australia;Australia - South Australia: Barossa / McLaren Vale;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=Australia&region[]=South%20Australia&location[]=Barossa&location[]=McLaren%20Vale;2004 South Australia: Barossa / McLaren Vale;94R;Outstanding;94;Ready to drink
USA;USA - North Coast;1993;https://www.robertparker.com//search/wines?vintage=1993&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Cabernet%20Sauvignon;1993 Calif N Coast Cabernet Sauvignon;90E;Outstanding;90;Early maturing and accessible
France;France - Alsace;1990;https://www.robertparker.com//search/wines?vintage=1990&country[]=France&region[]=Alsace;1990 Alsace;93R;Outstanding;93;Ready to drink
Italy;Italy - Piedmont: Barbaresco;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=Italy&region[]=Piedmont&location[]=Barbaresco;1986 Italy:  Piedmont (Barbaresco);89I;Above-average;89;Irregular, even among the best wines
USA;USA - North Coast;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Cabernet%20Sauvignon;1989 Calif N Coast Cabernet Sauvignon;84E;Above-average;84;Early maturing and accessible
France;France - Bordeaux: Margaux;1994;https://www.robertparker.com//search/wines?vintage=1994&country[]=France&region[]=Bordeaux&location[]=Margaux;1994 Margaux;85C;Above-average;85;Caution, may be too old
Austria;Austria;1993;https://www.robertparker.com//search/wines?vintage=1993&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;1993 Austria (Riesling & Grüner Veltliner);89C;Above-average;89;Caution, may be too old
Germany;Germany - Rheinhessen;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=Germany&region[]=Rheinhessen&variety[]=Riesling;1989 Germany: Rhine (Riesling);90C;Outstanding;90;Caution, may be too old
France;France - Bordeaux: Pomerol;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Bordeaux&location[]=Pomerol;2008 Pomerol;96E;Extraordinary;96;Early maturing and accessible
France;France - Bordeaux: Barsac / Sauternes;1982;https://www.robertparker.com//search/wines?vintage=1982&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1982 Barsac / Sauternes;75R;Average;75;Ready to drink
France;France - Burgundy: Beaujolais;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=France&region[]=Burgundy&region[]=Beaujolais;2011 Beaujolais;91R;Outstanding;91;Ready to drink
USA;USA;2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=USA&region[]=Washington&variety[]=Cabernet%20Sauvignon&variety[]=Syrah;"2001 Washington
Cabernet Sauvignon and Syrah";92R;Outstanding;92;Ready to drink
France;France - Bordeaux: Barsac / Sauternes;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1985 Barsac / Sauternes;85R;Above-average;85;Ready to drink
Spain;Spain - Castilla Leon: Ribera Del Duero;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1986 Spain:  Ribera del Duero;77C;Average;77;Caution, may be too old
Portugal;Portugal;1981;https://www.robertparker.com//search/wines?vintage=1981&country[]=Portugal&type[]=Fortified;1981 Portugal Vintage Port;NV;Not yet sufficiently tasted to rate;;
Austria;Austria;1992;https://www.robertparker.com//search/wines?vintage=1992&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;1992 Austria (Riesling & Grüner Veltliner);88C;Above-average;88;Caution, may be too old
France;France - Rhone: Cote Rotie / Hermitage;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2014 Northern Rhone
Cote Rotie / Hermitage";87E;Above-average;87;Early maturing and accessible
France;France - Alsace;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=France&region[]=Alsace;2010 Alsace;89I;Above-average;89;Irregular, even among the best wines
Australia;Australia - South Australia: Barossa / McLaren Vale;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=Australia&region[]=South%20Australia&location[]=Barossa&location[]=McLaren%20Vale;1989 South Australia: Barossa / McLaren Vale;88C;Above-average;88;Caution, may be too old
USA;USA - North Coast;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Chardonnay;1995 Calif N Coast Chardonnay;92C;Outstanding;92;Caution, may be too old
USA;USA - Willamette Valley;1989;https://www.robertparker.com//search/wines?vintage=1989&country[]=USA&region[]=Oregon&location[]=Willamette%20Valley&variety[]=Pinot%20Noir;1989 Oregon: Willamette Valley Pinot Noir;86C;Above-average;86;Caution, may be too old
Austria;Austria;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;1986 Austria (Riesling & Grüner Veltliner);96R;Extraordinary;96;Ready to drink
France;France - Alsace;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=France&region[]=Alsace;1995 Alsace;89R;Above-average;89;Ready to drink
France;France - Bordeaux: Pomerol;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Bordeaux&location[]=Pomerol;2014 Pomerol;94T;Outstanding;94;Still tannic, youthful, or slow to mature
France;France - Rhone: Cote Rotie / Hermitage;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2011 Northern Rhone
Cote Rotie / Hermitage";92E;Outstanding;92;Early maturing and accessible
Germany;Germany - Rheinhessen;2003;https://www.robertparker.com//search/wines?vintage=2003&country[]=Germany&region[]=Rheinhessen&variety[]=Riesling;2003 Germany: Rhine (Riesling);89I;Above-average;89;Irregular, even among the best wines
Spain;Spain - Rioja;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=Spain&region[]=Rioja;1984 Spain:  Rioja;78R;Average;78;Ready to drink
Australia;Australia - Victoria / Tasmania;2013;https://www.robertparker.com//search/wines?vintage=2013&country[]=Australia&region[]=Victoria&region[]=Tasmania;2013 Australia: Victoria / Tasmania;93E;Outstanding;93;Early maturing and accessible
France;France - Bordeaux: Barsac / Sauternes;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1999 Barsac / Sauternes;88E;Above-average;88;Early maturing and accessible
Italy;Italy - Campania: Taurasi;2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=Italy&region[]=Campania&location[]=Taurasi;2001 Italy: Campania (Taurasi);91R;Outstanding;91;Ready to drink
Chile;Chile;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=Chile;2011 Chile;92R;Outstanding;92;Ready to drink
Italy;Italy - Tuscany: Brunello di Montalcino;1982;https://www.robertparker.com//search/wines?vintage=1982&country[]=Italy&region[]=Tuscany&location[]=Brunello%20di%20Montalcino;1982 Italy:  Tuscany (Brunello di Montalcino);92R;Outstanding;92;Ready to drink
France;France - Alsace;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=France&region[]=Alsace;1986 Alsace;82C;Above-average;82;Caution, may be too old
France;France - Bordeaux: Graves / Pessac Leognan;2011;https://www.robertparker.com//search/wines?vintage=2011&country[]=France&region[]=Bordeaux&location[]=Graves&location[]=Pessac-Leognan;2011 Graves;86E;Above-average;86;Early maturing and accessible
France;France - Burgundy: Cote de Nuits;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;1986 Cote de Nuits (red);65C;Below-average;65;Caution, may be too old
Portugal;Portugal;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=Portugal&dryness[]=Dry;2009 Portugal dry wines;91T;Outstanding;91;Still tannic, youthful, or slow to mature
France;France - Rhone: Chateauneuf du Pape;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=France&region[]=Rh%C3%B4ne&location[]=Southern%20Rh%C3%B4ne&locale[]=Chateauneuf%20du%20Pape;"1986 Southern Rhone
Chateauneuf du Pape";78C;Average;78;Caution, may be too old
USA;USA - Central Coast: Paso Robles;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=USA&region[]=California&location[]=Central%20Coast&locale[]=San%20Luis%20Obispo%20County&site[]=Paso%20Robles;"2012 California
Central Coast:Paso Robles";90E;Outstanding;90;Early maturing and accessible
France;France - Bordeaux: Barsac / Sauternes;1988;https://www.robertparker.com//search/wines?vintage=1988&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1988 Barsac / Sauternes;98R;Extraordinary;98;Ready to drink
France;France - Rhone: Chateauneuf du Pape;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=France&region[]=Rh%C3%B4ne&location[]=Southern%20Rh%C3%B4ne&locale[]=Chateauneuf%20du%20Pape;"1999 Southern Rhone
Chateauneuf du Pape";90E;Outstanding;90;Early maturing and accessible
Italy;Italy - Piedmont: Barolo;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=Italy&region[]=Piedmont&location[]=Barolo;1986 Italy:  Piedmont (Barolo);90I;Outstanding;90;Irregular, even among the best wines
France;France - Bordeaux: Graves / Pessac Leognan;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=France&region[]=Bordeaux&location[]=Graves&location[]=Pessac-Leognan;1998 Graves;94T;Outstanding;94;Still tannic, youthful, or slow to mature
France;France - Bordeaux: Pomerol;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=France&region[]=Bordeaux&location[]=Pomerol;2015 Pomerol;96T;Extraordinary;96;Still tannic, youthful, or slow to mature
France;France - Bordeaux: Barsac / Sauternes;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=France&region[]=Bordeaux&location[]=Barsac&location[]=Sauternes;1995 Barsac / Sauternes;85E;Above-average;85;Early maturing and accessible
New Zealand;New Zealand;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=New%20Zealand;2008 New Zealand;81I;Above-average;81;Irregular, even among the best wines
Germany;Germany - Mosel Saar Ruwer;1970;https://www.robertparker.com//search/wines?vintage=1970&country[]=Germany&region[]=Mosel%20Saar%20Ruwer;1970 Germany: Mosel-Saar-Ruwer;85R;Above-average;85;Ready to drink
USA;USA - North Coast;1988;https://www.robertparker.com//search/wines?vintage=1988&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;1988 Calif N Coast Pinot Noir;87C;Above-average;87;Caution, may be too old
