Country;Region;Year;URL;Title;Note;Class;Rating;Maturity
USA;USA - Willamette Valley;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=USA&region[]=Oregon&location[]=Willamette%20Valley&variety[]=Pinot%20Noir;2006 Oregon: Willamette Valley Pinot Noir;91E;Outstanding;91;Early maturing and accessible
France;France - Rhone: Cote Rotie / Hermitage;1994;https://www.robertparker.com//search/wines?vintage=1994&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"1994 Northern Rhone
Cote Rotie / Hermitage";88C;Above-average;88;Caution, may be too old
France;France - Burgundy: Cote de Nuits;1994;https://www.robertparker.com//search/wines?vintage=1994&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;1994 Cote de Nuits (red);72C;Average;72;Caution, may be too old
France;France - Languedoc;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Languedoc-Roussillon;2008 Languedoc;87R;Above-average;87;Ready to drink
Italy;Italy - Tuscany: Brunello di Montalcino;1996;https://www.robertparker.com//search/wines?vintage=1996&country[]=Italy&region[]=Tuscany&location[]=Brunello%20di%20Montalcino;1996 Italy:  Tuscany (Brunello di Montalcino);88R;Above-average;88;Ready to drink
Spain;Spain - Castilla Leon: Ribera Del Duero;1992;https://www.robertparker.com//search/wines?vintage=1992&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1992 Spain:  Ribera del Duero;82R;Above-average;82;Ready to drink
France;France - Champagne;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=France&region[]=Champagne;2009 Champagne;84E;Above-average;84;Early maturing and accessible
France;France - Rhone: Cote Rotie / Hermitage;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"1998 Northern Rhone
Cote Rotie / Hermitage";90T;Outstanding;90;Still tannic, youthful, or slow to mature
Spain;Spain - Castilla Leon: Ribera Del Duero;2001;https://www.robertparker.com//search/wines?vintage=2001&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;2001 Spain:  Ribera del Duero;95R;Outstanding;95;Ready to drink
France;France - Burgundy: Cote de Nuits;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;2006 Cote de Nuits (red);89I;Above-average;89;Irregular, even among the best wines
France;France - Burgundy: Beaujolais;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=France&region[]=Burgundy&region[]=Beaujolais;1995 Beaujolais;87C;Above-average;87;Caution, may be too old
Germany;Germany - Rheinhessen;2002;https://www.robertparker.com//search/wines?vintage=2002&country[]=Germany&region[]=Rheinhessen&variety[]=Riesling;2002 Germany: Rhine (Riesling);92R;Outstanding;92;Ready to drink
USA;USA - North Coast;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Cabernet%20Sauvignon;2009 Calif N Coast Cabernet Sauvignon;94T;Outstanding;94;Still tannic, youthful, or slow to mature
Spain;Spain - Rioja;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=Spain&region[]=Rioja;2006 Spain:  Rioja;85R;Above-average;85;Ready to drink
Germany;Germany - Mosel Saar Ruwer;1986;https://www.robertparker.com//search/wines?vintage=1986&country[]=Germany&region[]=Mosel%20Saar%20Ruwer;1986 Germany: Mosel-Saar-Ruwer;85C;Above-average;85;Caution, may be too old
France;France - Champagne;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=France&region[]=Champagne;2006 Champagne;86R;Above-average;86;Ready to drink
France;France - Bordeaux: Pomerol;1981;https://www.robertparker.com//search/wines?vintage=1981&country[]=France&region[]=Bordeaux&location[]=Pomerol;1981 Pomerol;86R;Above-average;86;Ready to drink
France;France - Bordeaux: Margaux;2005;https://www.robertparker.com//search/wines?vintage=2005&country[]=France&region[]=Bordeaux&location[]=Margaux;2005 Margaux;98T;Extraordinary;98;Still tannic, youthful, or slow to mature
France;France - Bordeaux: Pomerol;1992;https://www.robertparker.com//search/wines?vintage=1992&country[]=France&region[]=Bordeaux&location[]=Pomerol;1992 Pomerol;82C;Above-average;82;Caution, may be too old
Italy;Italy - Piedmont: Barolo;1980;https://www.robertparker.com//search/wines?vintage=1980&country[]=Italy&region[]=Piedmont&location[]=Barolo;1980 Italy:  Piedmont (Barolo);88I;Above-average;88;Irregular, even among the best wines
USA;USA - North Coast;1987;https://www.robertparker.com//search/wines?vintage=1987&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Zinfandel;1987 Calif N Coast Zinfandel;90C;Outstanding;90;Caution, may be too old
Germany;Germany - Rheinhessen;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=Germany&region[]=Rheinhessen&variety[]=Riesling;2014 Germany: Rhine (Riesling);81I;Above-average;81;Irregular, even among the best wines
France;France - Bordeaux: St Emilion;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;1984 St. Emilion;69C;Below-average;69;Caution, may be too old
Italy;Italy - Campania: Taurasi;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=Italy&region[]=Campania&location[]=Taurasi;2008 Italy: Campania (Taurasi);92R;Outstanding;92;Ready to drink
USA;USA - North Coast;1999;https://www.robertparker.com//search/wines?vintage=1999&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Chardonnay;1999 Calif N Coast Chardonnay;89R;Above-average;89;Ready to drink
France;France - Bordeaux: St Emilion;1993;https://www.robertparker.com//search/wines?vintage=1993&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;1993 St. Emilion;84C;Above-average;84;Caution, may be too old
France;France - Champagne;1982;https://www.robertparker.com//search/wines?vintage=1982&country[]=France&region[]=Champagne;1982 Champagne;94R;Outstanding;94;Ready to drink
Italy;Italy - Tuscany: Brunello di Montalcino;1998;https://www.robertparker.com//search/wines?vintage=1998&country[]=Italy&region[]=Tuscany&location[]=Brunello%20di%20Montalcino;1998 Italy:  Tuscany (Brunello di Montalcino);88R;Above-average;88;Ready to drink
USA;USA - Willamette Valley;2003;https://www.robertparker.com//search/wines?vintage=2003&country[]=USA&region[]=Oregon&location[]=Willamette%20Valley&variety[]=Pinot%20Noir;2003 Oregon: Willamette Valley Pinot Noir;88E;Above-average;88;Early maturing and accessible
France;France - Bordeaux: St Emilion;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Bordeaux&location[]=Saint-%C3%89milion;2014 St. Emilion;92T;Outstanding;92;Still tannic, youthful, or slow to mature
France;France - Rhone: Cote Rotie / Hermitage;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"1984 Northern Rhone
Cote Rotie / Hermitage";75E;Average;75;Early maturing and accessible
